INDY PASS ROSTER,,"DISCOUNT (no included tickets) at Indy Allied partners (Mont Ripley, Cherry Peak, King Pine)
DAYS SHARED BETWEEN: Mountain High East/West | Loveland and Loveland Valley | Björkliden and Riksgränsen",,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 2/3=2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 
26=Summer 2026 Access | 27=Summer 2027 Access",,,,,,IKON PASS ROSTER,,"2026-27 BLACKOUT DATES: 
Northern Hemisphere: 12/26-30 | 1/16-17 | 2/13-14
Southern Hemisphere: 7/4-19, 2026 | 7/3-18, 2027",,,,,"DAYS SHARED BETWEEN: Aspen Mountain, Aspen Highlands, Buttermilk, Snowmass | Alta, Snowbird | Sunshine, Lake Louise, Norquay | 
Sun Valley Bald & Dollar | Killington, Pico | Summit at Snoqualmie, Alpental | Snowriver: Black River Basin & Jackson Creek Summit | 
Coronet Peak, Mt. Hutt, The Remarkables | All ski areas on Ikon Session",,,,,,,,,,,,,,,,"PASS ACCESS KEY: U=Unlimited Access | 1/2/3=1/2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 26=Summer 2026 Access | 
27=Summer 2027 Access",,,,,,,,,,IKON PASS 2-DAY ROSTER,,"PASS ACCESS KEY:| 1/2/3=1/2/3 Days | B=Blackouts Apply | 2026-27 Blackouts: 12/26-30 | 1/16-17 | 2/13-14
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IKON PASS MIDWEST ROSTER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC PASS ROSTER,,"PASS ACCESS KEY: U=UNLIMITED ACCESS | 1/2/3=1/2/3 DAYS | S=SHARED DAYS | B=BLACKOUTS APPLY | M= MIDWEEK ONLY | 
C=MUST USE DAYS CONSECUTIVELY | L=LODGING REQUIREMENT | SA=SATURDAY | 27=SUMMER 2027 ACCESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MOUNTAIN COLLECTIVE 
ROSTER",,"PASS ACCESS KEY: U=UNLIMITED ACCESS | 1/2/3=1/2/3 DAYS | B=BLACKOUTS APPLY | M= MIDWEEK ONLY | 26=SUMMER 2026 ACCESS | 27=SUMMER 2027 ACCESS | 
S=SHARED DAYS BETWEEN: Coronet Peak, The Remarkables | Aspen Mountain, Aspen Highlands, Buttermilk, Snowmass | Sun Valley Bald and Dollar Mountains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNTAIN COLLECTIVE PARTNERS THAT ARE NOT ON IKON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNOW TRIPLE PLAY EAST ROSTER,,"PASS ACCESS KEY: U=UNLIMITED ACCESS | 1-3=1/2 DAYS | B=BLACKOUTS APPLY | M= MIDWEEK ONLY | 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POWER PASS ROSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POWDER ALLIANCE
 ROSTER",,,,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 3=3 Days | S=Shared Days | 
B=Blackouts Apply - blackout dates vary widely",,,,,,,,NEW ENGLAND PASS ROSTER,,,,,,,,,,,,,,,,,,,,,,,,,,PASS ACCESS KEY: U=Unlimited Access | 1/2/3=1/2/3 Days | S=Shared Days | B=Blackouts Apply | NT=No Big Sky Tram Access,,,,,,,,,,,,,,,
LOCATION,,CORE STATS,,,,,,OWNER,OPERATING CLASS,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,EPIC PASS ACCESS,,,,,,,,,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,LOCATION,,CORE STATS,,,,,,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,OPERATING CLASS,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,LOCATION,,CORE STATS,,,,,,OWNER,LIFT FLEET,,,,,,,,,,,,,,,,,PASS ACCESS,,,,,,,,,,,,,,,
U.S. Total: 143,Canada: 30,"Ski Areas >1,000 vertical feet: 127",,,,,,,Public w/Aerial Lifts: 153,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,U.S. Total: 59,Canada: 13,"Ski Areas >1,000 vertical feet: 83",,,,,,Alterra: 20,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,U.S. Total: 8,Canada: 1,"Ski Areas >1,000 vertical feet: 5",,,,,,Fairbank Group: 2,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,"No Ikon Base or
Session Access
for these ski
areas.",,,,,,Midwest Total: 10,Wisconsin: 2,"Ski Areas >1,000 vertical feet: 0",,,,,,Midwest Family Ski Resorts: 0,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,,,,,,,U.S. Total: 0,Canada: 0,Total Ski Areas: 71,,,,,,Vail Resorts: 42,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,,,,,,,,,U.S. Total: 17,Canada: 7,"Ski Areas >1,000 vertical feet: 30",,,,,,Aspen: 0,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,U.S. Total: 3,Canada: 2,"Ski Areas >1,000 vertical feet: 5",,,,,,,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,U.S. Total: 11,Canada: 5,"Ski Areas >1,000 vertical feet: 7",,,,,,Les Sommets: 0,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,,,"Total Ski Areas >1,000 vertical feet: 5",,,,,,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,,,,,U.S. Total: 0,,"Ski Areas >1,000 vertical feet: 19",,,,,,California Mountain Resort Company: 0,Public w/Aerial Lifts: 20,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,,,,Ski Areas >1K vert: 9,,,,,,Alterra: 0,Number of ski areas with this type of lift,,,,,,,,,,,,,,,,,Current prices,,,,,,,,,,,,,,,
U.S. West: 50,Europe: 30,Ski Areas >400 acres: 50,,,,,,,Public - Surface Lifts Only: 10,4,24,0,1,1,19,3,60,92,91,130,52,21,12,67,140,,$399,$449,,,,,Eastern North America: 17,Europe: 9,Ski Areas >400 acres: 72,,,,,,Boyne Resorts: 10,11,36,6,2,5,45,7,72,60,56,62,13,1,15,21,80,,"$1,449","$1,019",VARIES,$699,$699,,,East: 3,Midwest: 4,Ski Areas >400 acres: 1,,,,,,Murdock Family: 1,1,1,0,0,0,1,0,4,9,4,3,0,0,1,4,8,,,,,,,,Michigan: 4,Minnesota: 4,Ski Areas >400 acres: 4,,,,,,Boyne Resorts: 0,0,1,0,0,1,5,0,3,6,5,5,1,0,0,6,8,,,,,,,,U.S. West: 0,Europe: 0,"Ski Areas >1,000 vertical feet: 51",,,,,,Resorts of the Canadian Rockies: 6,8,28,4,2,8,23,6,46,47,45,43,20,11,9,22,57,,"$1,119",$829,$676,$507,$699,$597,$485,$665,$458,,,,,,,Eastern North America: 5,Europe: 2,Ski Areas >400 acres: 28,,,,,,Boyne Resorts: 0,6,16,3,0,2,15,5,29,23,17,18,6,1,8,8,28,,$699,"$1,449","$1,019",$507,$699,,,Eastern North America: 2,,Ski Areas >400 acres: 4,,,,,,,0,2,0,0,0,1,1,5,5,3,2,0,0,1,0,4,,$699,"$1,449","$1,019",$507,$699,,,Eastern North America: 16,,Ski Areas >400 acres: 1,,,,,,New York State: 0,0,3,0,1,0,1,0,6,14,8,6,4,1,1,1,16,,$699,"$1,449","$1,019",$507,$699,,,,,Total Ski Areas >400 acres: 0,,,,,,1,0,0,0,4,1,5,10,13,9,2,1,0,2,12,15,,,,,"$1,449","$1,019",,,,,,,U.S. West: 0,,Ski Areas >400 acres: 17,,,,,,,Public - Surface Lifts Only: 2,0,2,0,0,0,2,0,10,12,12,14,3,0,2,4,17,,Varies,$399,$449,,,,,,,,Ski Areas >400 acres: 10,,,,,,Boyne Resorts: 0,1,2,1,0,4,5,1,10,10,9,8,2,0,1,2,11,,"$1,499","$1,089",$759,$679,$509,$499,$389,$629,$30,,"$2,800",,"$1,449","$1,019",,$699
U.S. East: 55,Japan: 29,Total Ski Areas: 233,,,Avg. vert,Total ac,Avg. snow,,Private w/Aerial Lifts: 1,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,Chile: 1,Australia: 2,Total Ski Areas: 98,,,Avg. vert,Total ac,Avg. snow,Aspen: 4,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,U.S. West: 1,Canada West: 1,Total Ski Areas: 9,,,Avg. vert,Total ac,Avg. snow,Independent: 5,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,,,,,,,,,Total Ski Areas: 10,,,Avg. vert,Total ac,Avg. snow,Independent: 8,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Current Price,,,,,,U.S. Midwest: 0,Australia: 0,Ski Areas >400 acres: 27,,,Avg. vert,Total ac,Avg. snow,Independent: 17,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,,,,,,,Chile: 1,Australia: 1,Total Ski Areas: 32,,,Avg. vert,Total ac,Avg. snow,Independent: 44,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,Total Ski Areas: 5,,,Avg. vert,Total ac,Avg. snow,,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,Total Ski Areas: 1,,,Avg. vert,Total ac,Avg. snow,Independent: 44,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,Total Ski Areas 15,,,Avg. vert,Total ac,Avg. snow,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,,,,,Total Ski Areas: 20,,,Avg. vert,Total ac,Avg. snow,,Private w/Aerial Lifts: 0,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,,Total Ski Areas: 11,,,Avg. vert,Total ac,Avg. snow,Aspen: 0,Total lifts of this type across the portfolio,,,,,,,,,,,,,,,,,Number of ski areas on this pass,,,,,,,,,,,,,,,
U.S. Midwest: 38,,,,,"1,344","134,561",169,Independent: 179,Private - Surface Lifts Only: 1,4,37,0,1,2,41,3,108,172,169,292,82,100,24,108,247,1938,232,232,40,80,,,Japan: 9,New Zealand: 3,Total Unlimited Ski Areas: 18,,,"2,472","283,902",269,Independent: 35,16,69,6,2,6,99,7,244,160,132,199,20,6,97,34,217,2162,98,80,53,27,,,,,,,,,"1,218","2,406",119,Northland Properties: 1,1,1,0,0,0,1,0,7,25,7,4,0,0,1,11,15,73,,,,,,,,,,,,505,"3,317",111,,0,1,0,0,1,6,0,4,20,6,13,1,0,0,13,12,77,"$1,449","$1,019",,,,,U.S. East: 0,Japan: 0,,,,"2,492","97,443",219,,18,140,4,3,19,141,6,179,111,98,134,71,89,16,46,191,1518,71,52,21,21,9,3,3,2,4,47,32,22,,,,Japan: 1,New Zealand: 2,,,,"3,011","87,159",288,,10,39,3,0,3,42,5,100,77,38,40,9,6,89,14,80,563,31,26,18,10,,,,,,,,,"2,206","6,721",312,,0,2,0,0,0,1,1,14,14,3,3,0,0,1,0,7,46,5,0,0,0,,,,,,,,,"1,024","2,135",109,Snow Partners: 0,0,3,0,1,0,1,0,12,34,13,9,5,1,1,2,30,112,1,1,0,0,,16,,,,,,,916,"3,470",1,1,0,0,0,4,1,8,21,28,20,11,6,0,2,22,125,6,13,10,1,1,0,1,15,15,0,,,,,,,,"1,827","21,894",281,Independent: 58,Private - Surface Lifts Only: 0,0,2,0,0,0,2,0,22,17,27,35,3,0,2,7,37,154,20,14,14,1,,,,,,,,,,"1,917","13,560",256,Independent: 9,1,3,1,0,5,6,1,22,30,26,23,3,0,3,2,28,154,11,3,3,3,3,4,3,3,4,4,11,11,10,10,10,3
Location,Mountain,"YEAR 
JOINED
INDY","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Operating Class,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Indy,Indy+,Indy Learn-To-Turn,"Ski Area's
Season Pass $",REGION,,Location,Mountain,"YEAR
JOINED
IKON","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Ikon,Ikon Base,Ikon Session,Mountain Collective,REGION,"Ski Area's Current
2026-27 Season 
Pass Price",,Location,Mountain,"YEAR
JOINED
IKON","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Ikon,Ikon Base,Ikon Session,Mountain Collective,REGION,,Location,Mountain,,"Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,,,,,,,,,,,,,,,,,,,,,,,,Location,Mountain,"Year
Joined
Pass","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Epic,Epic Local,"Epic Northeast 
Value","Epic Northeast 
Midweek",Epic Tahoe Local,Epic Tahoe Value,"Epic Keystone 
Plus","Epic Summit 
Value",Epic Ohio,"Epic Day All 
",Epic Day 32 ,Epic Day 22 ,Epic Military,REGION,,Location,Mountain,"YEAR
JOINED
MC","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Mountain Collective,Ikon,Ikon Base,Ikon Session,REGION,,,Location,Mountain,"YEAR
JOINED
MC","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Mountain Collective,Ikon,Ikon Base,Ikon Session,REGION,,,Location,Mountain,"YEAR
JOINED
MC","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,"Mountain 
Collective",Ikon,Ikon Base,Ikon Session,REGION,"Snow Triple 
Play East",,Location,Ski Area,"Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Power,Power Pass Select,Power Pass Core,Ikon,Ikon Base,Ikon Session,Mountain Collective,REGION,"ANTICIPATE
OPERATING 26/27?",,,,Location,Mountain,"YEAR 
JOINED
INDY","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Operating Class,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,Powder Alliance,Indy,Indy+,Indy Learn-To-Turn,"Ski Area's
Season Pass $",REGION,"YEAR 
JOINED
POWDER
ALLIANCE",,Location,Mountain,"YEAR
JOINED
IKON","Base 
(feet, 
lift-
served)","Summit 
(feet, 
lift-
served)","Lift-
Served 
Vertical 
Drop 
(feet)","Lift-
Served 
Skiable 
Acres","Average 
Snowfall 
(claimed, 
inches)",Owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Double,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,Total Lifts,New England Gold Pass,New England Silver Pass,New England Bronze Pass,New England Nitro Unlimited,New England Nitro Limited,New England College,New England College Limited,New England Afternoon,New England Super Senior & Child,New England Day,Boyne Passport,Boyne Freestyle,Ikon,Ikon Base,Ikon Session,Mountain Collective
Canada - Alberta,Castle Mountain,2019,"4,675 ","7,529 ","2,854 ","3,592",335,Independent,,,,,,,,,1,,2,2,1,,,,1,7,2,2,,,Canada - West,,Australia,Mt. Buller,2018,"4,528 ","5,840 ","1,312 ",741,126,Independent,,,,,,2,1,,7,2,1,3,,,1,2,19,"7, 26, 27","5, 26, 27",,"2, 26",Australia,,,Canada - British Columbia,Grouse Mountain,2025,899 ,"4,101 ","3,202 ",212,220,Northland Properties Corporation,1,1,,,,,,2,2,,,,,,1,1,8,2B,,,,Canada - West,,U.S. - Michigan,Boyne Mountain,2018,720 ,"1,140 ",420 ,435,140,Boyne Resorts,,,,,1,1,,,4,1,2,,,,,1,10,7,5B,"1-4, B, S",,U.S. - Midwest,,Australia,Falls Creek,2018,"4,921 ","5,840 ",919 ,"1,112",157,Vail Resorts,,,,,,,,2,5,1,,,,3,,4,15,"U, 27",,,,,,,,,,,,"U, 27",Australia,,Australia,Mt. Buller,2019,"4,528 ","5,840 ","1,312 ",741,126,Independent,,,,,,2,1,,7,2,1,3,,,1,2,19,"2, 26","7, 26, 27","5, 26, 27",,Australia,,,Canada - Alberta,Marmot Basin,2022,,,"3,000 ","1,720",173,Independent,,,,,,,,3,2,1,,,,,,,6,2,,,,Canada - West,,,Canada - Nova Scotia,Ski Martock,,85 ,617 ,532 ,60,100,Cape Smokey Holding,,,,,,,,,1,,,1,,,,1,3,,,,,Canada - East,1-2,,Chile,La Parva,"8,704 ","11,722 ","3,018 ","1,977",300,,,,,,,,,2,2,1,10,,,,,15,"10, S, 26","10, S, 26",,,,,,Chile,Yes,,,,U.S. - Alaska,Eaglecrest,2019,"1,144 ","2,545 ","1,401 ",640,350,Independent,Public w/Aerial Lifts,,,,,,,,,,,4,,,,,,4,3,2,2,,$745.20,U.S. - West,,,Canada - British Columbia,Cypress,2018,,,"2,010 ",600,425,Boyne Resorts,,,,,,,,2,3,,1,,,,,1,7,3,,,,,,,,,,U,"1, -, 8, S",7,5B,"1-4, B, S",
,Pass Powderkeg,2023,"4,570 ","5,380 ",810 ,150,75,Independent,,,,,,,,,,,,,,,,,,0,2,2,,,Canada - West,,,Thredbo,2018,"4,478 ","6,683 ","2,205 ","1,186",78,Independent,,1,,,,,1,2,1,,1,5,,,,3,14,"7, 26, 27","5, B, 26, 27",,,Australia,,,U.S. - Idaho,Tamarack,2026,"4,900 ","7,700 ","2,800 ","1,100",275,Independent,,,,,,,,3,2,,,,,1,,1,7,"2, B",,,,U.S. - West,,U.S. - Michigan,Snowriver: Black River (UP),2026,"1,185 ","1,675 ",490 ,170,204,Midwest Family Ski Resorts,,,,,,,,,,,4,,,,1,,5,"7, S","5, B, S","1-4, B, S",,U.S. - Midwest,,,Hotham,2015,"4,757 ","6,053 ","1,296 ",605,118,Vail Resorts,,,,,,,,,8,1,,2,,,,3,14,"U, 27",,,,,,,,,,,,"U, 27",Australia,,Canada - Alberta,Banff Sunshine,2014,"5,440 ","8,954 ","3,514 ","3,358",360,Independent,,1,,,,1,,6,2,,,,,,,2,12,2,7S,5SB,"1-4, B, S",Canada - West,,,Canada - Quebec,Bromont,2024,541 ,"1,693 ","1,152 ",450,210­,Independent,,,,,,,1,2,4,,1,,,,,3,11,2,,,,Canada - East,,,Canada - Quebec,Sommet Gabriel,,764 ,"1,420 ",656 ,50,,Les Sommets,,,,,,,,,3,,,1,,,,1,5,,,,,Canada - East,1-2,,Chile,Valle Nevado,"9,383 ","12,041 ","2,658 ","2,400",240,,1,,,,,,1,1,1,2,1,6,,,3,16,"10, S, 26","10, S, 26",,"7, 26, 27","5, 26, 27",,"2, 26",Chile,Yes,,,,U.S. - California,Bear Valley,2024,"6,595 ","8,495 ","1,900 ","1,680",352,California Mountain Resort Company,Public w/Aerial Lifts,,,,,,1,,1,1,2,2,,,,,2,9,3B,2B,2,,$579,U.S. - West,,,U.S. - Maine,Pleasant Mountain,,600 ,"1,900 ","1,300 ",249,110,Boyne Resorts,,,,,,,,1,1,2,,,,,,2,6,U,,,,,U,,,U,2-5,U,"1, -, 8, S",,,,
Canada - British Columbia,Apex Mountain,2019,"5,167 ","7,146 ","1,979 ","1,112",224,Independent,Public w/Aerial Lifts,,,,,,,,1,,1,,1,,,,,3,2,2,,,Canada - West,,Canada - Alberta,Banff Sunshine,2018,"5,440 ","8,954 ","3,514 ","3,358",360,Independent,,1,,,,1,,6,2,,,,,,,2,12,7S,5SB,"1-4, B, S",2,Canada - West,,,U.S. - Massachusetts,Butternut,2025,800 ,"1,800 ","1,000 ",110,110,Murdock Family,,,,,,,,,5,,,,,,,4,9,2B,,,,U.S. - East,,U.S. - Michigan,Snowriver: Jackson Creek (UP),2026,"1,214 ","1,752 ",538 ,230,204,Midwest Family Ski Resorts,,,,,,1,,,,,2,1,,,1,1,6,"7, S","5, B, S","1-4, B, S",,U.S. - Midwest,,,Perisher,2015,"5,266 ","6,673 ","1,407 ","3,076",190,Vail Resorts,,,,,1,1,,2,6,1,3,20,2,,2,7,45,"U, 27",,,,,,,,,,,,"U, 27",Australia,,,Lake Louise,2014,"5,400 ","8,650 ","3,250 ","4,200",179,Independent,,1,,,,2,,4,2,1,,,,,,3,13,2,7S,5SB,"1-4, B, S",Canada - West,,,U.S. - California,Sugar Bowl,2022,"6,883 ","8,383 ","1,500 ","1,650",429,Independent,,1,,,,,,5,3,1,,,,1,,1,12,2,,,,U.S. - West,,,,Sommet Morin Heights,,867 ,"1,523 ",656 ,80,79,Les Sommets,,,,,,,,,1,3,,,,,,1,5,,,,,Canada - East,1-2,,U.S. - Arizona,Arizona Snowbowl,"9,200 ","11,500 ","2,300 ",777,242,,,,,,1,1,,3,1,,,,,,2,8,U,12SB,4SB,,,,,U.S. - West,Yes,,,,,China Peak,2020,"7,030 ","8,709 ","1,679 ","1,200",300,California Mountain Resort Company,Public w/Aerial Lifts,,,,,,,,,2,4,,1,,,,4,11,3B,2,2,,$579,U.S. - West,2013,,,Sugarloaf,2018,"1,417 ","4,165 ","2,748 ","1,360",200,Boyne Resorts,,,,,,,,3,3,1,5,2,,,,1,15,U,"U, B","U, B, M",U,"U, B",U,"U, B","U, After 12 p.m.",U,2-5,U,"1, -, 7, S",7,5B,"1-4, B, S",2
